iter	Logloss
0	0.3058190926
1	0.2356207498
2	0.2048452147
3	0.1930735989
4	0.1878414409
5	0.1851507435
6	0.1828183828
7	0.1796899183
8	0.1774859176
9	0.176760375
10	0.1758669826
11	0.1749985771
12	0.1743037264
13	0.1742783524
14	0.1733381088
15	0.1729297054
16	0.1721081213
17	0.1717837379
18	0.1717836817
19	0.1715659978
20	0.1712233714
21	0.1704312533
22	0.169594564
23	0.1695177487
24	0.169169128
25	0.1684941879
26	0.1681385542
27	0.1677783678
28	0.1672879725
29	0.166575925
30	0.1657734128
31	0.1653414132
32	0.1648824829
33	0.164178639
34	0.1641612309
35	0.1635307724
36	0.1628289364
37	0.1622709582
38	0.1612887265
39	0.1609513158
40	0.1604559793
41	0.1599321581
42	0.159376234
43	0.1587293004
44	0.1582143847
45	0.1576697455
46	0.1567422998
47	0.1560195788
48	0.1557198151
49	0.155500889
50	0.1550316767
51	0.1546269021
52	0.1539750768
53	0.1534246345
54	0.1531966575
55	0.1525735386
56	0.1521399576
57	0.1516532424
58	0.1513221939
59	0.1500991034
60	0.1494340498
61	0.1489793412
62	0.1486002529
63	0.1479031578
64	0.1474606704
65	0.1471569208
66	0.1465704281
67	0.1459651729
68	0.1459072056
69	0.1457474463
70	0.1455772499
71	0.1452284521
72	0.1450484159
73	0.1446671477
74	0.1441525077
75	0.1437285568
76	0.1437117417
77	0.1432612983
78	0.142843393
79	0.1424402912
