iter	Logloss
0	0.6569432372
1	0.6223502664
2	0.5921206024
3	0.5624812766
4	0.5363911349
5	0.512494471
6	0.4894722404
7	0.4691027975
8	0.4498765588
9	0.43260823
10	0.4158115616
11	0.4009591872
12	0.387076186
13	0.3745846931
14	0.3631721754
15	0.3521149409
16	0.3416680354
17	0.3322650331
18	0.3237758485
19	0.3153452587
20	0.3072558946
21	0.2998485211
22	0.2921395697
23	0.2857891675
24	0.2789133881
25	0.27332576
26	0.2676924144
27	0.2633584988
28	0.2573232272
29	0.2524706235
30	0.2471609684
31	0.2426386105
32	0.2402502227
33	0.2362673563
34	0.2321185593
35	0.2302849162
36	0.2267071545
37	0.2233814863
38	0.2202835688
39	0.2173743543
40	0.2148063973
41	0.2123612652
42	0.2099316194
43	0.2078118505
44	0.2059845136
45	0.2042061362
46	0.2022538058
47	0.2004753302
48	0.1987882406
49	0.1972061275
50	0.1958365365
51	0.194376238
52	0.1928735699
53	0.1915606523
54	0.1905690382
55	0.1893501096
56	0.1880857439
57	0.1871982285
58	0.1861822998
59	0.1852593766
60	0.1844987077
61	0.1836609388
62	0.1829371979
63	0.1822545219
64	0.181571016
65	0.1808534225
66	0.180248968
67	0.179616985
68	0.1790828593
69	0.1785153929
70	0.1780247374
71	0.1775807241
72	0.1768333139
73	0.1763196999
74	0.1758838614
75	0.1754338355
76	0.175066249
77	0.1744871664
78	0.1739494462
79	0.1734492825
80	0.1729037237
81	0.172352439
82	0.1719065792
83	0.1715984078
84	0.1711737314
85	0.1707790227
86	0.1704884578
87	0.1701196955
88	0.1697426537
89	0.1694056218
90	0.1691241692
91	0.1687729767
92	0.1684420549
93	0.1681832204
94	0.1679334538
95	0.1676605063
96	0.1674413244
97	0.1671591587
98	0.1669748172
99	0.1667569753
100	0.1664598209
101	0.1661704384
102	0.1659162366
103	0.1656972096
104	0.1654522183
105	0.1651858023
106	0.1648717996
107	0.1647068713
108	0.1645382838
109	0.1642944477
110	0.1641283254
111	0.1639528661
112	0.1638220526
113	0.1637287221
114	0.1635204886
115	0.1632926886
116	0.1631552299
117	0.1630253892
118	0.1628454366
119	0.1627018274
120	0.1625333664
121	0.1624295596
122	0.1623297241
123	0.1622088266
124	0.1621148413
125	0.1619814255
126	0.1618455808
127	0.1617559946
128	0.1615831779
129	0.1614684183
130	0.1613154801
131	0.1612458481
132	0.1611154438
133	0.1609695778
134	0.1608697063
135	0.1607862035
136	0.16072366
137	0.1606623837
138	0.1605308319
139	0.1604587712
140	0.1604251433
141	0.1603109698
142	0.1601893235
143	0.1601161828
144	0.1600693659
145	0.1599577248
146	0.1598663989
147	0.1597906734
148	0.1597474789
149	0.1596514002
150	0.1595830495
151	0.1595122514
152	0.1594467041
153	0.1593669766
154	0.1593251193
155	0.1592445413
156	0.1591492763
157	0.159107389
158	0.1590611924
159	0.1588603979
160	0.1586831153
161	0.1586600707
162	0.158439186
163	0.1583381094
164	0.1582789607
165	0.1580996807
166	0.1579462496
167	0.1578450362
168	0.1577833705
169	0.1576232559
170	0.1575905816
171	0.1575235231
172	0.1573652073
173	0.1573045071
174	0.1572129287
175	0.1570954638
176	0.1569919949
177	0.1569230987
178	0.1568916904
179	0.156834539
180	0.1567232366
181	0.1566499071
182	0.15658038
183	0.1564488645
184	0.1563984315
185	0.1562961438
186	0.1561402407
187	0.1560650671
188	0.1560159723
189	0.1559494085
190	0.1558971049
191	0.1558692972
192	0.1558486583
193	0.1558351417
194	0.1557429451
195	0.1556981251
196	0.1556347878
197	0.1555986063
198	0.1554774575
199	0.1554346036
